Symbol,Reason,Source,Timestamp
NIFTYCOMMODITIES,Fyers error: 429 Client Error: Too Many Requests for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ANIFTYCOMMODITIES-INDEX&resolution=1D&date_format=1&range_from=2017-07-29&range_to=2018-07-29&cont_flag=1; Yahoo error: 'NIFTYCOMMODITIES' is not available on Yahoo Finance. Please authenticate with Fyers API (set FYERS_ACCESS_TOKEN in fyers.env) and re-run to download via Fyers.,Fyers -> Yahoo Finance,2026-07-21 14:06:33
NIFTYCONSRDURBL,Fyers error: 429 Client Error: Too Many Requests for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ANIFTYCONSRDURBL-INDEX&resolution=1D&date_format=1&range_from=2023-08-03&range_to=2024-08-02&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^NIFTYCONSRDURBL'.,Fyers -> Yahoo Finance,2026-07-21 18:12:53
NSE:RELIANCE-EQ,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ARELIANCE-EQ&resolution=1D&date_format=1&range_from=2011-08-02&range_to=2012-08-01&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^RELIANCE-EQ'.,Fyers -> Yahoo Finance,2026-07-29 16:40:06
NSE:TCS-EQ,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ATCS-EQ&resolution=1D&date_format=1&range_from=2011-08-02&range_to=2012-08-01&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^TCS-EQ'.,Fyers -> Yahoo Finance,2026-07-29 16:40:07
NSE:HDFCBANK-EQ,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3AHDFCBANK-EQ&resolution=1D&date_format=1&range_from=2011-08-02&range_to=2012-08-01&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^HDFCBANK-EQ'.,Fyers -> Yahoo Finance,2026-07-29 16:40:09
NSE:BHARTIARTL-EQ,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3ABHARTIARTL-EQ&resolution=1D&date_format=1&range_from=2011-08-02&range_to=2012-08-01&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^BHARTIARTL-EQ'.,Fyers -> Yahoo Finance,2026-07-29 16:40:10
NSE:ICICIBANK-EQ,Fyers error: 401 Client Error: Unauthorized for url: https://api-t1.fyers.in/data/history?symbol=NSE%3AICICIBANK-EQ&resolution=1D&date_format=1&range_from=2011-08-02&range_to=2012-08-01&cont_flag=1; Yahoo error: No data returned from Yahoo Finance for ticker '^ICICIBANK-EQ'.,Fyers -> Yahoo Finance,2026-07-29 16:40:10
NSE:TATAMTRDVR-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'TATAMTRDVR.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:36:10
NSE:TATAMOTORS-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'TATAMOTORS.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:36:15
NSE:M_M-EQ,Fyers error: No data returned from Fyers API for the specified range.; Yahoo error: No data returned from Yahoo Finance for ticker 'M_M.NS'.,Fyers -> Yahoo Finance,2026-07-29 21:36:20
