Date,Open,High,Low,Close,Volume
2011-08-02,569.0,577.1500244140625,564.1500244140625,566.7000122070312,889329
2011-08-03,560.0,569.0,545.9500122070312,555.5,2793641
2011-08-04,558.7999877929688,562.8499755859375,543.7000122070312,546.9000244140625,1613713
2011-08-05,530.0,549.4500122070312,519.1500244140625,540.1500244140625,2813149
2011-08-08,526.0,537.5,515.0,525.0,2475847
2011-08-09,505.04998779296875,532.9000244140625,500.45001220703125,518.6500244140625,2478519
2011-08-10,533.0,533.9500122070312,517.0,522.75,1890494
2011-08-11,519.9000244140625,524.75,508.70001220703125,511.3999938964844,1291070
2011-08-12,515.2000122070312,529.2000122070312,515.2000122070312,524.7000122070312,1480618
2011-08-16,526.0999755859375,533.0,510.1000061035156,513.4500122070312,1003031
2011-08-17,507.1499938964844,524.7999877929688,507.1499938964844,514.9500122070312,755833
2011-08-18,521.0,522.7999877929688,491.1000061035156,495.29998779296875,1335643
2011-08-19,485.1000061035156,490.0,463.8999938964844,484.70001220703125,2346519
2011-08-22,482.0,503.1000061035156,482.0,500.45001220703125,1398955
2011-08-23,502.1000061035156,509.0,499.1000061035156,504.54998779296875,935282
2011-08-24,500.04998779296875,502.95001220703125,481.75,492.8500061035156,1811965
2011-08-25,497.5,497.5,463.1000061035156,470.3999938964844,3883438
2011-08-26,470.1000061035156,484.79998779296875,450.25,462.6000061035156,3392638
2011-08-29,467.0,508.8999938964844,467.0,493.8500061035156,2550164
2011-08-30,500.0,526.0999755859375,496.3500061035156,520.9000244140625,3353328
2011-09-02,531.0,549.7999877929688,521.2000122070312,525.9500122070312,3181560
2011-09-05,523.0,540.5999755859375,516.75,534.0499877929688,2340532
2011-09-06,534.0499877929688,554.7999877929688,530.75,549.5499877929688,3751549
2011-09-07,553.5,570.0,545.0,563.0499877929688,2725222
2011-09-08,558.2000122070312,563.7999877929688,548.4500122070312,553.3499755859375,2037983
2011-09-09,550.0,555.0,536.0999755859375,540.2000122070312,1466448
2011-09-12,527.4000244140625,531.7999877929688,501.54998779296875,521.6500244140625,2079118
2011-09-13,521.0,536.3499755859375,517.0,530.6500244140625,1812757
2011-09-14,534.6500244140625,550.9000244140625,528.0,542.25,2547030
2011-09-15,548.7999877929688,559.9000244140625,543.5,550.3499755859375,2090387
2011-09-16,552.9000244140625,557.0,541.5,545.4500122070312,1110785
2011-09-19,544.0,547.7000122070312,538.0499877929688,545.3499755859375,896507
2011-09-20,548.0,565.8499755859375,545.2000122070312,555.2999877929688,1849635
2011-09-21,561.3499755859375,569.9000244140625,550.0999755859375,556.4500122070312,2132218
2011-09-22,547.9500122070312,554.4000244140625,526.2000122070312,531.2999877929688,4208511
2011-09-23,524.0499877929688,534.5,514.25,524.0,1992187
