Date,Open,High,Low,Close,Volume
2018-01-01,14152.1,14153.1,13988.7,14020.6,0
2018-01-02,14049.8,14082.8,13984.5,14046.5,0
2018-01-03,14092.9,14116.9,14054.8,14066.7,0
2018-01-04,14092.8,14114.1,14043.3,14100.2,0
2018-01-05,14115.9,14256.7,14106.5,14234.2,0
2018-01-08,14294.4,14342.4,14284.3,14305.8,0
2018-01-09,14334.5,14381.8,14263.7,14322.8,0
2018-01-10,14324.3,14328.2,14221.6,14282.4,0
2018-01-11,14292.8,14323.5,14234.2,14293.5,0
2018-01-12,14331.9,14381.5,14244.9,14368.2,0
2018-01-15,14430.7,14571.8,14424.1,14558.6,0
2018-01-16,14595.5,14599.9,14480.4,14546.2,0
2018-01-17,14531.5,14722.2,14530.3,14696.1,0
2018-01-18,14944.8,15005.8,14792.2,14854.6,0
2018-01-19,14908.8,15081.0,14803.8,15049.9,0
2018-01-22,15068.5,15176.2,15012.8,15155.2,0
2018-01-23,15190.8,15354.5,15181.8,15333.8,0
2018-01-24,15273.2,15341.3,15198.7,15215.7,0
2018-01-25,15208.5,15423.1,15100.0,15374.5,0
2018-01-29,15370.2,15515.3,15337.6,15402.7,0
2018-01-30,15382.8,15385.4,15216.2,15230.7,0
2018-01-31,15145.4,15352.9,15132.2,15309.2,0
2018-02-01,15248.6,15497.5,15142.7,15275.3,0
2018-02-02,15155.3,15155.5,14766.2,14812.7,0
2018-02-05,14534.5,14650.0,14505.8,14582.4,0
2018-02-06,14044.9,14627.1,13993.8,14432.2,0
2018-02-07,14573.3,14582.2,14308.8,14369.7,0
2018-02-08,14420.5,14609.5,14344.0,14485.5,0
2018-02-09,14228.2,14286.3,14154.2,14223.5,0
2018-02-12,14306.5,14404.5,14270.5,14382.2,0
2018-02-14,14455.8,14457.9,14140.8,14216.0,0
2018-02-15,14247.5,14402.8,14206.5,14302.5,0
2018-02-16,14358.1,14419.5,14144.0,14168.6,0
2018-02-19,14294.4,14295.5,14031.1,14138.8,0
2018-02-20,14169.8,14220.2,13983.7,14010.7,0
2018-02-21,14073.8,14081.9,13964.5,14040.2,0
2018-02-22,13984.1,14093.5,13960.3,14072.8,0
2018-02-23,14094.8,14305.8,14074.1,14279.9,0
2018-02-26,14350.7,14555.9,14333.2,14544.8,0
2018-02-27,14557.2,14562.3,14381.9,14401.7,0
2018-02-28,14252.3,14274.2,14140.3,14210.0,0
2018-03-01,14170.1,14275.9,14085.0,14112.3,0
2018-03-05,14075.2,14080.2,13968.2,14047.2,0
2018-03-06,14139.3,14186.0,13810.1,13856.8,0
2018-03-07,13796.9,13808.9,13686.5,13704.5,0
2018-03-08,13794.8,13898.3,13649.4,13866.5,0
2018-03-09,13920.3,13923.3,13745.1,13766.2,0
2018-03-12,13859.1,14053.3,13822.3,14026.6,0
2018-03-13,14008.1,14195.1,13969.0,14058.1,0
2018-03-14,14007.5,14143.3,13918.2,14113.8,0
2018-03-15,14116.4,14152.2,14042.9,14070.4,0
2018-03-16,14062.7,14067.5,13860.0,13885.8,0
2018-03-19,13911.8,13942.5,13718.5,13754.2,0
2018-03-20,13686.3,13807.3,13652.8,13700.0,0
2018-03-21,13791.8,13856.2,13706.0,13738.6,0
2018-03-22,13743.5,13773.1,13657.2,13681.5,0
2018-03-23,13473.5,13482.2,13379.2,13418.3,0
2018-03-26,13422.8,13703.1,13407.2,13674.7,0
2018-03-27,13758.2,13839.2,13695.0,13767.8,0
2018-03-28,13701.5,13727.2,13656.7,13687.9,0
2018-04-02,13645.3,13715.0,13541.2,13687.7,0
2018-04-03,13639.3,13840.7,13621.6,13824.4,0
2018-04-04,13814.2,13922.2,13591.6,13614.5,0
2018-04-05,13749.5,13996.2,13742.0,13967.2,0
2018-04-06,13971.8,14053.0,13899.0,14017.2,0
2018-04-09,13995.3,14182.8,13982.0,14146.4,0
2018-04-10,14179.8,14300.2,14165.5,14262.8,0
2018-04-11,14255.0,14262.3,14115.6,14215.9,0
2018-04-12,14201.5,14324.2,14146.3,14297.8,0
2018-04-13,14332.2,14434.1,14241.0,14323.5,0
2018-04-16,14253.2,14421.3,14240.8,14405.5,0
2018-04-17,14435.3,14453.5,14360.8,14420.7,0
2018-04-18,14478.6,14478.6,14260.6,14288.8,0
2018-04-19,14350.7,14350.7,14239.9,14295.2,0
2018-04-20,14296.5,14296.5,14113.1,14163.4,0
2018-04-23,14212.8,14258.2,13959.8,14199.1,0
2018-04-24,14212.7,14322.5,14210.0,14281.1,0
2018-04-25,14263.2,14263.2,14101.5,14162.2,0
2018-04-26,14176.0,14366.2,14125.6,14323.5,0
2018-04-27,14332.1,14587.7,14332.1,14560.0,0
2018-04-30,14604.5,14649.1,14553.2,14593.3,0
2018-05-02,14647.5,14720.2,14580.1,14624.8,0
2018-05-03,14611.2,14690.0,14577.6,14654.2,0
2018-05-04,14661.2,14680.7,14592.2,14655.7,0
2018-05-07,14684.1,14836.4,14680.0,14795.8,0
