Date,Open,High,Low,Close,Volume
2022-07-18,24979.2,25286.9,24965.6,25238.3,0
2022-07-19,25203.2,25411.5,25133.7,25370.0,0
2022-07-20,25643.0,25690.7,25332.3,25384.2,0
2022-07-21,25366.6,25537.5,25252.8,25490.2,0
2022-07-22,25563.9,25671.3,25395.3,25512.6,0
2022-07-25,25542.8,25627.5,25277.8,25495.7,0
2022-07-26,25527.6,25527.6,25119.9,25167.5,0
2022-07-27,25119.4,25257.7,24867.8,25223.4,0
2022-07-28,25354.5,25435.6,25235.8,25380.4,0
2022-07-29,25478.7,25925.3,25474.5,25823.4,0
2022-08-01,25986.7,26118.9,25729.0,26088.3,0
2022-08-02,26096.9,26264.4,25977.7,26194.7,0
2022-08-03,26166.2,26205.9,25849.3,26136.8,0
2022-08-04,26212.8,26338.1,25799.7,26301.9,0
2022-08-05,26280.2,26328.7,25921.4,26016.3,0
2022-08-08,26173.7,26249.2,26050.9,26173.9,0
2022-08-10,26273.8,26290.3,25963.8,26002.7,0
2022-08-11,26165.8,26388.7,26152.2,26290.5,0
2022-08-12,26354.0,26460.2,26299.9,26392.7,0
2022-08-16,26455.1,26673.1,26395.1,26601.8,0
2022-08-17,26650.3,26922.6,26619.0,26904.3,0
2022-08-18,26935.1,27068.8,26858.2,26956.2,0
2022-08-19,27115.4,27123.9,26572.7,26661.3,0
2022-08-22,26605.4,26611.8,26143.2,26187.3,0
2022-08-23,26033.2,26578.8,25979.6,26496.1,0
2022-08-24,26524.1,26610.4,26327.2,26464.6,0
2022-08-25,26582.5,26899.8,26541.7,26668.0,0
2022-08-26,26860.8,27090.2,26859.9,27012.2,0
2022-08-29,26288.7,26939.2,26288.7,26856.2,0
2022-08-30,27069.9,27518.0,27052.9,27473.7,0
2022-09-01,27362.4,27576.8,27200.6,27413.6,0
2022-09-02,27558.1,27561.3,27249.4,27298.2,0
2022-09-05,27390.2,27484.3,27261.0,27391.2,0
2022-09-06,27456.3,27550.3,27242.4,27518.9,0
2022-09-07,27382.7,27669.4,27343.6,27647.1,0
2022-09-08,27794.0,27854.7,27465.8,27538.1,0
2022-09-09,27742.2,27757.3,27385.7,27477.2,0
2022-09-12,27573.6,27894.2,27550.8,27849.1,0
2022-09-13,28019.7,28278.1,27965.9,28119.3,0
2022-09-14,27733.8,28044.3,27702.6,27937.9,0
